x	y
+0	+1
+0.0204082	+0.98
+0.0408163	+0.9604
+0.0612245	+0.941192
+0.0816327	+0.922368
+0.102041	+0.903921
+0.122449	+0.885842
+0.142857	+0.868126
+0.163265	+0.850763
+0.183673	+0.833748
+0.204082	+0.817073
+0.22449	+0.800731
+0.244898	+0.784717
+0.265306	+0.769022
+0.285714	+0.753642
+0.306122	+0.738569
+0.326531	+0.723798
+0.346939	+0.709322
+0.367347	+0.695135
+0.387755	+0.681233
+0.408163	+0.667608
+0.428571	+0.654256
+0.44898	+0.641171
+0.469388	+0.628347
+0.489796	+0.61578
+0.510204	+0.603465
+0.530612	+0.591395
+0.55102	+0.579568
+0.571429	+0.567976
+0.591837	+0.556617
+0.612245	+0.545484
+0.632653	+0.534575
+0.653061	+0.523883
+0.673469	+0.513405
+0.693878	+0.503137
+0.714286	+0.493075
+0.734694	+0.483213
+0.755102	+0.473549
+0.77551	+0.464078
+0.795918	+0.454796
+0.816327	+0.4457
+0.836735	+0.436786
+0.857143	+0.428051
+0.877551	+0.41949
+0.897959	+0.4111
+0.918367	+0.402878
+0.938776	+0.39482
+0.959184	+0.386924
+0.979592	+0.379185
+1	+0.371602
